No,D (m),H(m),Q,K(MPa),ε (%),Class,Singh,Barla,RandomForest,SVM,XGBoost
1,6.0,150.0,0.4,26.19,0.42,1,1,3,1,1,1
2,6.0,200.0,0.4,20.0,0.75,1,1,3,1,1,1
3,5.8,350.0,0.5,2.53,7.9,3,1,3,3,3,3
4,4.8,225.0,3.6,1000.0,0.06,1,1,1,1,1,1
5,4.8,340.0,1.8,500.0,0.4,1,1,1,1,1,1
6,4.8,550.0,5.1,1600.0,0.05,1,1,1,1,1,1
7,12.0,220.0,0.8,32.89,0.38,1,1,3,1,1,1
8,13.0,52.0,15.0,16.67,0.18,1,1,1,1,3,1
9,3.0,280.0,0.05,9.8,2.8,3,2,3,3,3,3
10,3.0,280.0,0.022,5.96,4.5,3,3,3,3,3,3
11,9.0,680.0,0.05,9.9,6.0,3,3,3,3,3,3
12,9.0,280.0,0.022,48.56,2.0,2,1,3,2,2,2
13,4.2,100.0,0.005,88.96,2.62,3,1,3,3,3,3
14,4.0,112.0,0.006,71.28,1.19,2,1,3,2,3,2
15,4.3,111.0,0.008,1936.0,0.75,1,1,3,1,1,1
16,4.0,112.0,0.008,936.0,0.2,1,1,3,1,1,1
17,4.0,112.0,0.008,651.0,0.1,1,1,3,1,1,1
18,4.0,140.0,0.009,430.0,0.8,1,1,3,1,2,1
19,4.2,100.0,0.01,31.72,3.81,3,1,3,3,3,3
20,4.0,138.0,0.013,1934.0,0.19,1,1,3,1,1,1
21,4.4,212.0,0.04,5324.0,0.02,1,1,3,1,1,1
22,5.0,300.0,0.05,1430.0,0.18,1,1,3,1,1,1
23,4.0,112.0,0.06,458.0,0.3,1,1,3,1,1,1
24,4.0,95.0,0.065,933.0,0.29,1,1,3,1,1,1
25,4.0,218.0,0.07,739.0,0.14,1,1,3,1,1,1
26,4.0,98.0,0.08,933.0,0.77,1,1,3,1,1,1
27,5.0,284.0,0.09,68.55,1.24,2,1,3,2,2,2
28,5.0,300.0,0.09,664.29,0.28,1,1,3,1,1,1
29,4.0,261.0,0.095,931.0,0.15,1,1,3,1,1,1
30,4.0,198.0,0.14,934.0,0.29,1,1,3,1,1,1
31,4.0,225.0,0.14,1430.0,0.24,1,1,3,1,1,1
32,5.0,130.0,0.2,936.0,0.34,1,1,3,1,1,1
33,4.1,158.0,0.23,650.0,0.32,1,1,3,1,1,1
34,5.0,276.0,0.25,940.0,0.77,1,1,3,1,1,1
35,5.0,276.0,0.28,652.0,0.56,1,1,3,1,1,1
36,4.0,126.0,0.3,461.0,0.03,1,1,3,1,1,1
37,4.0,114.0,0.47,648.0,0.03,1,1,3,1,1,1
38,4.0,114.0,0.6,556.0,0.24,1,1,3,1,1,1
39,4.6,300.0,0.023,7.71,7.0,3,2,3,3,3,3
40,4.8,350.0,0.5,25.32,7.9,3,1,3,2,1,3
41,4.8,800.0,2.5,48.99,8.9,3,1,1,3,3,3
42,7.0,285.0,0.1,9.79,2.87,3,1,3,3,2,3
43,7.0,410.0,0.3,9.79,2.8,3,1,3,3,3,3
44,7.0,415.0,0.88,9.79,2.19,2,1,3,2,2,2
45,2.5,480.0,0.8,9.84,2.88,3,2,3,3,2,3
46,7.0,500.0,1.0,9.79,2.64,3,1,3,3,3,3
47,2.5,510.0,0.88,9.84,2.42,2,2,3,2,2,2
48,4.6,240.0,0.12,3.97,4.5,3,1,3,3,3,3
49,4.6,440.0,0.05,3.97,10.04,3,3,3,3,3,3
50,4.6,450.0,0.06,3.97,10.3,3,2,3,3,3,3
51,4.6,400.0,0.03,3.98,10.43,3,3,3,3,3,3
52,4.6,400.0,0.05,3.98,7.61,3,2,3,3,3,3
53,4.6,200.0,0.02,2.98,6.2,3,1,3,3,3,3
54,4.6,325.0,0.03,2.98,8.75,3,2,3,3,3,3
55,4.6,400.0,0.512,2.98,0.67,1,1,3,1,1,1
56,5.8,700.0,0.3,9.81,4.83,3,2,3,3,3,3
57,5.8,550.0,1.7,9.81,2.66,3,1,1,3,3,3
58,5.8,635.0,4.0,9.81,2.33,2,1,1,2,2,2
59,5.8,650.0,4.12,9.81,2.07,2,1,1,2,2,2
60,5.8,450.0,0.31,5.1,4.83,3,1,3,3,3,3
61,5.8,750.0,0.5,8.1,4.14,3,2,3,3,3,3
62,7.0,450.0,0.59,9.67,3.0,3,1,3,3,3,3
63,6.8,337.0,0.007,44.76,2.1,2,3,3,2,2,2
64,6.8,337.0,0.011,16.05,3.8,3,3,3,3,3,3
65,6.8,337.0,0.006,22.58,3.1,3,3,3,3,3,3
66,6.8,337.0,0.006,36.36,2.2,2,3,3,2,2,2
67,6.8,337.0,0.08,14.09,2.2,2,1,3,3,3,2
68,8.7,550.0,0.029,39.13,2.3,2,3,3,2,2,2
69,8.7,600.0,0.023,90.71,1.4,2,3,3,2,2,2
70,8.7,600.0,0.03,34.48,2.9,3,3,3,2,3,3
71,8.7,600.0,0.018,26.2,3.9,3,3,3,3,3,3
72,8.7,600.0,0.023,28.48,3.2,3,3,3,3,3,3
73,8.7,620.0,0.02,26.2,4.9,3,3,3,3,3,3
74,8.7,620.0,0.008,14.67,8.5,3,3,3,3,3,3
75,8.7,620.0,0.009,14.67,7.7,3,3,3,3,3,3
76,8.7,620.0,0.009,14.67,8.2,3,3,3,3,3,3
77,8.7,620.0,0.016,26.2,4.4,3,3,3,3,3,3
78,8.7,620.0,0.02,26.1,4.1,3,3,3,3,3,3
79,8.7,620.0,0.025,50.8,2.5,3,3,3,3,3,3
80,8.7,580.0,0.023,26.2,3.7,3,3,3,3,3,3
81,8.7,580.0,0.025,74.66,1.7,2,3,3,2,2,2
82,8.7,550.0,0.025,39.87,2.4,2,3,3,2,2,2
